2026-01-16 23:26:15.222 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
2026-01-16 23:26:15.222 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:158 - Loaded encoders: ['onehot']
2026-01-16 23:26:15.222 | WARNING  | synthefy_pkg.preprocessing.base_config:get_configs:184 - Using configuration from file: /home/raimi/synthefy-package-external/examples/configs/preprocessing_configs/config_oura_subset_preprocessing.json
2026-01-16 23:26:15.223 | WARNING  | synthefy_pkg.preprocessing.base_config:__post_init__:139 - Using DEFAULT output path: /home/raimi/data/oura_subset
2026-01-16 23:26:15.223 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:734 - Memory monitoring not enabled: invalid configuration
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_config:1071 - Train stride: 32, Val stride: 32, Test stride: 32
2026-01-16 23:26:15.223 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:757 - Shuffle is set to False in the preprocessing config file. Verify this is intended.
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:764 - Window size: 192
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:765 - Stride: 32
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:767 - Group labels: ['user_id']
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:768 - Timeseries columns: 3
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:769 - Continuous columns: 10
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:770 - Discrete columns: 1
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-16 23:26:15.223 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
