epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,0,,,,0.6925320029258728
0,0,,,1.1006861925125122,
0,1,,,0.9981407523155212,
0,1,,,,0.5057713389396667
0,1,0.5697007775306702,1.0710619688034058,,
1,2,,,0.9210894703865051,
1,3,,,0.9358866810798645,
1,3,,,,0.4420103132724762
1,3,0.5309375524520874,0.9253641963005066,,
2,4,,,0.8406658172607422,
2,5,,,0.8522158861160278,
2,5,,,,0.4258013963699341
2,5,0.5174208879470825,0.8440025448799133,,
3,6,,,0.7921001315116882,
3,7,,,0.8094968199729919,
3,7,,,,0.4330953359603882
3,7,0.5266585350036621,0.7971258163452148,,
4,8,,,0.7742659449577332,
4,9,,,0.7868036031723022,
4,9,,,,0.43136775493621826
4,9,0.5384083390235901,0.7778880000114441,,
5,10,0.5174208879470825,,,
